A,B,Condition
47,0,Multiplication
39,11,Multiplication
39,6,Multiplication
74,1,Multiplication
63,0,Multiplication
47,11,Multiplication
47,10,Multiplication
26,25,Multiplication
39,10,Multiplication
23,0,Multiplication
127,4,Multiplication
31,6,Multiplication
42,0,Multiplication
61,0,Multiplication
78,4,Multiplication
63,0,Multiplication
111,23,Multiplication
47,0,Multiplication
59,0,Multiplication
55,3,Multiplication
58,29,Multiplication
31,0,Multiplication
55,0,Multiplication
43,0,Multiplication
27,0,Multiplication
127,4,Multiplication
79,3,Multiplication
75,1,Multiplication
79,0,Multiplication
92,0,Multiplication
77,0,Multiplication
31,0,Multiplication
55,0,Multiplication
43,0,Multiplication
30,19,Multiplication
39,8,Multiplication
87,3,Multiplication
61,2,Multiplication
26,0,Multiplication
55,0,Multiplication
39,0,Multiplication
42,1,Multiplication
75,0,Multiplication
79,0,Multiplication
39,6,Multiplication
77,1,Multiplication
62,1,Multiplication
39,5,Multiplication
31,0,Multiplication
111,1,Multiplication
31,0,Multiplication
60,1,Multiplication
60,2,Multiplication
45,0,Multiplication
95,0,Multiplication
43,19,Multiplication
44,18,Multiplication
55,0,Multiplication
55,2,Meditation
47,15,Meditation
55,0,Meditation
39,8,Meditation
55,0,Meditation
55,1,Meditation
39,11,Meditation
31,0,Meditation
62,8,Meditation
62,0,Meditation
30,0,Meditation
41,0,Meditation
54,0,Meditation
29,0,Meditation
63,0,Meditation
47,17,Meditation
45,0,Meditation
47,10,Meditation
43,15,Meditation
46,2,Meditation
87,3,Meditation
78,2,Meditation
47,5,Meditation
26,43,Meditation
31,3,Meditation
39,0,Meditation
47,7,Meditation
39,11,Meditation
75,0,Meditation
47,0,Meditation
59,0,Meditation
30,0,Meditation
79,0,Meditation
55,1,Meditation
63,6,Meditation
43,14,Meditation
46,2,Meditation
61,0,Meditation
79,3,Meditation
44,0,Meditation
61,2,Meditation
55,0,Meditation
77,4,Meditation
44,0,Meditation
59,0,Meditation
55,0,Meditation
47,0,Meditation
54,0,Meditation
42,0,Meditation
37,0,Meditation
79,3,Meditation
55,0,Meditation
38,16,Meditation
31,3,Meditation
42,10,Meditation
59,1,Meditation
31,0,Meditation
63,0,Meditation
52,0,Meditation
39,5,Meditation
54,21,Meditation
52,0,Meditation
38,0,Meditation
42,0,Meditation
39,0,Meditation
31,5,Meditation
45,0,Meditation
95,0,Meditation
46,27,Meditation
79,0,Meditation
47,1,Meditation
43,0,Meditation
51,0,Meditation
119,0,Meditation
47,0,Meditation
111,0,Meditation
59,0,Meditation
63,0,Meditation
39,25,Meditation
42,0,Meditation
43,0,Meditation
87,2,Meditation
31,4,Meditation
79,3,Meditation
79,3,Meditation
79,0,Meditation
63,0,Meditation
47,0,Meditation
79,1,Meditation
39,0,Meditation
31,3,Meditation
87,5,Meditation
63,0,Meditation
127,0,Meditation
29,0,Meditation
63,0,Meditation
47,0,Meditation
54,27,Meditation
45,0,Meditation
37,3,Meditation
47,0,Meditation
31,5,Meditation
42,1,Meditation
31,1,Meditation
44,0,Meditation
47,0,Meditation
47,0,Meditation
47,0,Meditation
55,4,Meditation
63,0,Meditation
63,0,Meditation
39,4,Meditation
44,0,Meditation
63,1,Meditation
39,0,Meditation
47,12,Meditation
55,5,Meditation
55,9,Meditation
39,3,Meditation
29,4,Meditation
47,20,Meditation
41,0,Meditation
60,1,Meditation
61,3,Meditation
75,0,Meditation
63,3,Meditation
63,0,Meditation
76,0,Meditation
79,0,Meditation
95,5,Meditation
31,0,Meditation
54,1,Meditation
63,0,Meditation
61,0,Meditation
62,0,Meditation
63,0,Meditation
59,3,Meditation
31,3,Meditation
59,5,Meditation
63,1,Meditation
127,0,Meditation
95,1,Meditation
43,0,Meditation
63,2,Meditation
45,0,Meditation
53,10,Meditation
31,0,Meditation
27,0,Meditation
39,1,Meditation
63,0,Meditation
31,2,Meditation
63,0,Meditation
63,2,Meditation
63,1,Meditation
47,1,Meditation
22,0,Meditation
47,0,Meditation
43,1,Meditation
63,0,Meditation
95,0,Meditation
30,0,Meditation
47,0,Meditation
31,5,Meditation
31,19,Meditation
111,0,Meditation
31,0,Meditation
52,0,Meditation
52,5,Meditation
31,0,Meditation
77,0,Meditation
47,0,Meditation
58,0,Meditation
63,1,Meditation
31,0,Meditation
29,0,Meditation
63,0,Meditation
31,0,Meditation
47,0,Meditation
44,18,Meditation
45,17,Meditation
111,0,Meditation
55,0,Meditation
79,0,Meditation
53,13,Meditation
55,0,Meditation
63,0,Meditation
46,3,Meditation
78,1,Meditation
31,0,Meditation
44,0,Meditation
63,0,Meditation
27,3,Meditation
63,2,Meditation
63,0,Meditation
95,3,Meditation
43,0,Meditation
63,0,Meditation
58,0,Meditation
31,4,Meditation
31,4,Meditation
39,4,Multiplication
45,0,Multiplication
95,0,Multiplication
47,0,Multiplication
95,0,Multiplication
111,0,Multiplication
63,2,Multiplication
54,0,Multiplication
111,0,Multiplication
63,0,Multiplication
79,1,Multiplication
39,10,Multiplication
52,14,Multiplication
87,3,Multiplication
47,0,Multiplication
31,2,Multiplication
31,19,Multiplication
47,0,Multiplication
63,0,Multiplication
79,0,Multiplication
95,5,Multiplication
111,4,Multiplication
31,3,Multiplication
95,0,Multiplication
63,2,Multiplication
95,37,Multiplication
28,0,Multiplication
29,3,Multiplication
39,0,Multiplication
47,19,Multiplication
63,1,Multiplication
55,1,Multiplication
39,0,Multiplication
31,0,Multiplication
53,0,Multiplication
47,0,Multiplication
47,0,Multiplication
111,5,Multiplication
63,0,Multiplication
39,0,Multiplication
47,20,Multiplication
76,0,Multiplication
63,1,Multiplication
52,23,Multiplication
46,0,Multiplication
52,0,Multiplication
54,0,Multiplication
43,16,Multiplication
87,3,Multiplication
39,4,Multiplication
26,0,Multiplication
45,16,Multiplication
47,1,Multiplication
27,18,Multiplication
39,6,Multiplication
55,0,Multiplication
87,3,Multiplication
95,4,Multiplication
31,0,Multiplication
31,3,Multiplication
63,3,Multiplication
47,12,Multiplication
77,6,Multiplication
87,0,Multiplication
42,0,Multiplication
61,0,Multiplication
87,0,Multiplication
37,29,Multiplication
47,8,Multiplication
63,1,Multiplication
28,2,Multiplication
63,3,Multiplication
39,0,Multiplication
63,0,Multiplication
63,1,Multiplication
47,0,Multiplication
37,0,Multiplication
63,1,Multiplication
63,0,Multiplication
46,0,Multiplication
87,0,Multiplication
63,0,Multiplication
39,5,Multiplication
39,5,Multiplication
63,2,Multiplication
53,25,Multiplication
55,0,Multiplication
31,1,Multiplication
30,4,Multiplication
31,1,Multiplication
26,0,Multiplication
63,0,Multiplication
54,5,Multiplication
39,3,Multiplication
55,6,Multiplication
30,0,Multiplication
71,0,Multiplication
95,3,Multiplication
91,0,Multiplication
43,0,Multiplication
46,0,Multiplication
47,0,Multiplication
55,6,Multiplication
127,0,Multiplication
29,0,Multiplication
45,0,Multiplication
92,0,Multiplication
54,0,Multiplication
31,19,Multiplication
61,0,Multiplication
59,26,Multiplication
42,15,Multiplication
75,0,Multiplication
55,0,Multiplication
45,0,Multiplication
45,15,Multiplication
30,0,Multiplication
31,6,Multiplication
27,3,Multiplication
39,0,Multiplication
43,0,Multiplication
31,2,Multiplication
41,7,Multiplication
63,4,Multiplication
44,0,Multiplication
55,0,Multiplication
79,0,Multiplication
63,3,Multiplication
42,0,Multiplication
79,3,Multiplication
43,0,Multiplication
55,0,Multiplication
63,0,Multiplication
63,0,Multiplication
39,0,Multiplication
43,14,Multiplication
63,0,Multiplication
29,0,Multiplication
47,18,Multiplication
63,2,Multiplication
26,18,Multiplication
31,0,Multiplication
28,1,Multiplication
52,17,Multiplication
63,1,Multiplication
61,0,Multiplication
59,0,Multiplication
55,0,Multiplication
31,7,Multiplication
47,0,Multiplication
31,2,Multiplication
42,0,Multiplication
76,4,Multiplication
37,0,Multiplication
55,0,Multiplication
111,0,Multiplication
63,0,Multiplication
63,0,Multiplication
63,43,Multiplication
63,3,Multiplication
44,0,Multiplication
43,0,Multiplication
125,0,Multiplication
79,0,Multiplication
63,1,Multiplication
31,19,Multiplication
63,0,Multiplication
59,0,Multiplication
42,0,Multiplication
47,10,Multiplication
46,3,Multiplication
87,24,Multiplication
31,8,Multiplication
63,0,Multiplication
30,5,Multiplication
47,21,Multiplication
60,0,Multiplication
62,2,Multiplication
47,0,Multiplication
39,0,Multiplication
31,0,Multiplication
63,0,Multiplication
39,6,Multiplication
95,0,Multiplication
63,0,Multiplication
63,0,Multiplication
27,20,Multiplication
63,0,Multiplication
31,8,Multiplication
63,0,Multiplication
43,0,Multiplication
47,9,Multiplication
63,0,Multiplication
52,0,Multiplication
79,0,Multiplication
55,0,Multiplication
75,0,Multiplication
63,2,Multiplication
46,17,Multiplication
55,0,Multiplication
61,0,Meditation
26,31,Meditation
42,0,Meditation
111,0,Meditation
63,0,Meditation
39,0,Meditation
63,2,Meditation
55,0,Meditation
63,3,Meditation
87,0,Meditation
95,4,Meditation
62,4,Meditation
46,0,Meditation
39,0,Meditation
31,0,Meditation
42,0,Meditation
39,12,Meditation
119,0,Meditation
39,0,Meditation
47,0,Meditation
63,0,Meditation
63,5,Meditation
31,0,Meditation
87,1,Meditation
59,7,Meditation
30,4,Meditation
63,0,Meditation
30,21,Meditation
63,1,Meditation
13,0,Meditation
53,0,Meditation
54,0,Meditation
47,0,Meditation
47,0,Meditation
39,0,Meditation
63,0,Meditation
39,0,Meditation
63,0,Meditation
31,0,Meditation
63,0,Meditation
38,0,Meditation
79,0,Meditation
62,2,Meditation
53,0,Meditation
54,27,Meditation
63,0,Meditation
31,6,Meditation
42,12,Meditation
95,0,Meditation
47,12,Meditation
45,16,Meditation
47,8,Meditation
63,0,Meditation
111,1,Meditation
47,14,Meditation
54,0,Meditation
61,0,Meditation
61,0,Meditation
55,7,Meditation
39,2,Meditation
45,0,Meditation
55,0,Meditation
31,0,Meditation
55,6,Meditation
60,0,Meditation
43,0,Meditation
111,0,Meditation
43,0,Meditation
63,0,Meditation
38,4,Meditation
47,0,Meditation
42,0,Meditation
31,0,Meditation
59,0,Meditation
63,5,Meditation
79,2,Meditation
31,4,Meditation
31,0,Meditation
111,5,Meditation
87,3,Meditation
55,1,Meditation
39,0,Meditation
92,1,Meditation
55,0,Meditation
43,0,Meditation
27,19,Meditation
63,2,Meditation
39,0,Meditation
52,0,Meditation
42,0,Meditation
52,6,Meditation
30,0,Meditation
30,0,Meditation
63,0,Meditation
47,0,Meditation
26,33,Meditation
47,0,Meditation
79,0,Meditation
60,0,Meditation
39,0,Meditation
31,7,Meditation
47,1,Meditation
79,3,Meditation
39,0,Meditation
62,2,Meditation
61,0,Meditation
20,0,Meditation
31,2,Meditation
39,18,Meditation
75,0,Meditation
47,0,Meditation
31,0,Meditation
31,2,Meditation
54,23,Meditation
95,2,Meditation
55,0,Meditation
61,2,Meditation
46,0,Meditation
63,0,Meditation
47,0,Meditation
39,0,Meditation
47,0,Meditation
45,0,Meditation
45,20,Meditation
47,17,Meditation
75,3,Meditation
41,0,Meditation
52,20,Meditation
59,1,Meditation
39,8,Meditation
52,0,Meditation
63,0,Meditation
31,0,Meditation
31,5,Meditation
127,0,Meditation
42,0,Meditation
77,0,Meditation
63,1,Meditation
63,0,Meditation
38,9,Meditation
31,7,Meditation
95,2,Meditation
47,0,Meditation
95,0,Meditation
52,0,Meditation
79,0,Meditation
87,0,Meditation
39,0,Meditation
63,0,Meditation
127,0,Meditation
78,0,Meditation
54,6,Meditation
63,0,Meditation
63,1,Meditation
39,10,Meditation
28,18,Meditation
47,3,Meditation
52,0,Meditation
75,3,Meditation
59,0,Meditation
51,11,Meditation
127,0,Meditation
31,19,Meditation
39,0,Meditation
46,3,Meditation
63,0,Meditation
47,0,Meditation
31,0,Meditation
95,2,Meditation
42,6,Meditation
55,1,Meditation
95,0,Meditation
39,0,Meditation
63,1,Meditation
47,19,Meditation
63,0,Meditation
42,7,Meditation
127,0,Meditation
63,0,Meditation
63,0,Meditation
23,3,Meditation
31,0,Meditation
63,0,Meditation
53,0,Meditation
79,0,Meditation
59,25,Meditation
45,0,Meditation
55,0,Meditation
63,0,Meditation
44,13,Meditation
62,1,Meditation
63,0,Meditation
46,0,Meditation
44,0,Meditation
59,1,Meditation
47,16,Meditation
41,0,Meditation
47,0,Meditation
28,5,Meditation
55,0,Meditation
47,0,Multiplication
39,0,Multiplication
55,26,Multiplication
43,0,Multiplication
61,1,Multiplication
31,20,Multiplication
55,1,Multiplication
63,0,Multiplication
55,6,Multiplication
47,0,Multiplication
52,20,Multiplication
159,0,Multiplication
63,2,Multiplication
31,0,Multiplication
30,0,Multiplication
42,5,Multiplication
27,1,Multiplication
39,9,Multiplication
119,0,Multiplication
75,0,Multiplication
62,4,Multiplication
42,0,Multiplication
79,0,Multiplication
77,0,Multiplication
45,0,Multiplication
87,0,Multiplication
93,2,Multiplication
27,0,Multiplication
53,21,Multiplication
47,11,Multiplication
55,0,Multiplication
63,0,Multiplication
55,10,Multiplication
43,12,Multiplication
18,0,Multiplication
45,0,Multiplication
79,1,Multiplication
77,0,Multiplication
39,0,Multiplication
63,11,Multiplication
63,0,Multiplication
63,0,Multiplication
31,5,Multiplication
23,1,Multiplication
55,2,Multiplication
47,0,Multiplication
31,0,Multiplication
31,3,Multiplication
47,0,Multiplication
39,0,Multiplication
55,0,Multiplication
31,9,Multiplication
63,0,Multiplication
63,3,Multiplication
63,0,Multiplication
58,2,Multiplication
55,7,Multiplication
55,21,Multiplication
41,0,Multiplication
63,0,Multiplication
63,0,Multiplication
95,0,Multiplication
47,0,Multiplication
55,0,Multiplication
95,1,Multiplication
31,0,Multiplication
39,18,Multiplication
63,1,Multiplication
52,0,Multiplication
47,3,Multiplication
28,5,Multiplication
45,0,Multiplication
53,0,Multiplication
28,3,Multiplication
63,0,Multiplication
58,0,Multiplication
47,9,Multiplication
47,0,Multiplication
55,0,Multiplication
47,0,Multiplication
127,4,Multiplication
55,0,Multiplication
63,0,Multiplication
28,0,Multiplication
58,1,Multiplication
42,0,Multiplication
47,8,Multiplication
47,11,Multiplication
31,0,Multiplication
31,1,Multiplication
47,14,Multiplication
63,3,Multiplication
58,0,Multiplication
55,22,Multiplication
54,0,Multiplication
63,0,Multiplication
27,3,Multiplication
60,0,Multiplication
31,0,Multiplication
46,0,Multiplication
159,0,Multiplication
39,8,Multiplication
63,0,Multiplication
31,0,Multiplication
79,2,Multiplication
30,1,Multiplication
39,3,Multiplication
39,0,Multiplication
78,0,Multiplication
37,0,Multiplication
55,0,Multiplication
47,0,Multiplication
28,18,Multiplication
63,3,Multiplication
62,1,Multiplication
47,0,Multiplication
31,0,Multiplication
43,0,Multiplication
43,14,Multiplication
61,0,Multiplication
63,0,Multiplication
43,1,Multiplication
37,0,Multiplication
63,0,Multiplication
63,0,Multiplication
37,4,Multiplication
55,22,Multiplication
55,8,Multiplication
54,0,Multiplication
47,0,Multiplication
95,0,Multiplication
26,0,Multiplication
31,2,Multiplication
95,6,Multiplication
95,0,Multiplication
38,1,Multiplication
75,0,Multiplication
58,0,Multiplication
62,1,Multiplication
55,0,Multiplication
42,0,Multiplication
37,7,Multiplication
55,3,Multiplication
95,0,Multiplication
47,0,Multiplication
79,3,Multiplication
47,0,Multiplication
46,0,Multiplication
63,1,Multiplication
79,2,Multiplication
95,0,Multiplication
27,18,Multiplication
44,0,Multiplication
43,0,Multiplication
21,0,Multiplication
31,3,Multiplication
42,0,Multiplication
31,2,Multiplication
78,3,Multiplication
39,0,Multiplication
28,18,Multiplication
41,0,Multiplication
95,0,Multiplication
39,8,Multiplication
58,0,Multiplication
26,37,Multiplication
31,6,Multiplication
47,0,Multiplication
95,0,Multiplication
61,0,Multiplication
55,0,Multiplication
79,2,Multiplication
42,17,Multiplication
26,0,Multiplication
46,15,Multiplication
63,1,Multiplication
47,0,Multiplication
63,0,Multiplication
27,0,Multiplication
54,27,Multiplication
47,0,Multiplication
54,0,Multiplication
59,0,Multiplication
52,0,Multiplication
95,0,Multiplication
38,0,Multiplication
47,9,Multiplication
63,0,Multiplication
30,4,Multiplication
59,0,Multiplication
47,0,Multiplication
61,1,Multiplication
62,1,Multiplication
31,3,Multiplication
55,0,Multiplication
55,0,Multiplication
14,0,Multiplication
31,4,Multiplication
91,22,Multiplication
58,0,Multiplication
44,0,Meditation
55,1,Meditation
55,27,Meditation
95,0,Meditation
59,0,Meditation
38,0,Meditation
38,0,Meditation
63,0,Meditation
61,0,Meditation
59,0,Meditation
63,0,Meditation
78,0,Meditation
31,0,Meditation
79,2,Meditation
143,2,Meditation
63,0,Meditation
59,0,Meditation
63,0,Meditation
45,0,Meditation
52,0,Meditation
63,0,Meditation
30,0,Meditation
87,0,Meditation
43,0,Meditation
79,0,Meditation
60,1,Meditation
63,0,Meditation
31,4,Meditation
47,0,Meditation
61,2,Meditation
75,0,Meditation
47,21,Meditation
63,2,Meditation
52,22,Meditation
63,1,Meditation
31,0,Meditation
27,0,Meditation
58,0,Meditation
45,0,Meditation
42,0,Meditation
59,4,Meditation
63,1,Meditation
41,21,Meditation
63,0,Meditation
79,0,Meditation
31,0,Meditation
59,0,Meditation
63,1,Meditation
46,0,Meditation
95,0,Meditation
60,2,Meditation
79,0,Meditation
60,0,Meditation
75,0,Meditation
47,0,Meditation
22,1,Meditation
47,0,Meditation
59,0,Meditation
95,0,Meditation
27,4,Meditation
55,0,Meditation
38,9,Meditation
87,0,Meditation
55,2,Meditation
63,3,Meditation
39,0,Meditation
63,0,Meditation
47,0,Meditation
55,0,Meditation
53,0,Meditation
31,0,Meditation
55,17,Meditation
38,0,Meditation
47,0,Meditation
62,1,Meditation
55,4,Meditation
119,0,Meditation
44,0,Meditation
60,1,Meditation
31,0,Meditation
79,0,Meditation
63,0,Meditation
53,24,Meditation
47,0,Meditation
42,0,Meditation
29,18,Meditation
79,0,Meditation
125,0,Meditation
47,0,Meditation
47,0,Meditation
26,0,Meditation
47,32,Meditation
31,0,Meditation
55,0,Meditation
47,7,Meditation
39,12,Meditation
39,0,Meditation
95,4,Meditation
59,1,Meditation
63,0,Meditation
39,10,Meditation
27,0,Meditation
79,2,Meditation
47,22,Meditation
61,0,Meditation
55,3,Meditation
47,0,Meditation
31,6,Meditation
55,6,Meditation
63,0,Meditation
60,0,Meditation
94,4,Meditation
46,18,Meditation
27,0,Meditation
55,0,Meditation
38,0,Meditation
46,0,Meditation
63,0,Meditation
63,1,Meditation
29,0,Meditation
94,1,Meditation
39,0,Meditation
47,14,Meditation
63,3,Meditation
43,0,Meditation
63,0,Meditation
79,0,Meditation
94,3,Meditation
111,2,Meditation
55,2,Meditation
54,0,Meditation
43,0,Meditation
58,0,Meditation
39,7,Meditation
39,0,Meditation
77,4,Meditation
30,6,Meditation
63,0,Meditation
47,0,Meditation
87,5,Meditation
59,0,Meditation
27,2,Meditation
42,0,Meditation
43,0,Meditation
62,0,Meditation
47,0,Meditation
29,0,Meditation
52,0,Meditation
79,4,Meditation
47,26,Meditation
55,0,Meditation
47,0,Meditation
46,0,Meditation
95,0,Meditation
54,0,Meditation
58,3,Meditation
63,0,Meditation
31,2,Meditation
95,0,Meditation
63,4,Meditation
44,18,Meditation
31,3,Meditation
91,2,Meditation
47,0,Meditation
47,0,Meditation
63,0,Meditation
47,0,Meditation
55,2,Meditation
31,20,Meditation
37,0,Meditation
55,6,Meditation
42,0,Meditation
63,0,Meditation
52,0,Meditation
63,0,Meditation
47,0,Meditation
62,4,Meditation
95,0,Meditation
63,0,Meditation
79,0,Meditation
55,1,Meditation
31,6,Meditation
119,0,Meditation
47,10,Meditation
47,0,Meditation
46,0,Meditation
111,5,Meditation
45,0,Meditation
63,5,Meditation
46,15,Meditation
75,0,Meditation
47,0,Meditation
52,16,Meditation
31,2,Meditation
44,0,Meditation
39,0,Meditation
52,0,Meditation
46,18,Meditation
31,0,Meditation
55,0,Meditation
29,4,Multiplication
63,3,Multiplication
55,4,Multiplication
63,0,Multiplication
63,0,Multiplication
87,0,Multiplication
63,6,Multiplication
47,0,Multiplication
29,0,Multiplication
43,0,Multiplication
79,3,Multiplication
63,0,Multiplication
47,2,Multiplication
62,2,Multiplication
55,0,Multiplication
159,0,Multiplication
38,0,Multiplication
31,7,Multiplication
62,1,Multiplication
59,0,Multiplication
58,0,Multiplication
63,0,Multiplication
38,1,Multiplication
29,4,Multiplication
39,4,Multiplication
63,0,Multiplication
44,0,Multiplication
59,0,Multiplication
43,0,Multiplication
52,0,Multiplication
143,0,Multiplication
91,3,Multiplication
39,0,Multiplication
61,0,Multiplication
54,4,Multiplication
42,0,Multiplication
31,0,Multiplication
31,5,Multiplication
63,3,Multiplication
44,0,Multiplication
63,0,Multiplication
63,3,Multiplication
39,0,Multiplication
39,0,Multiplication
31,0,Multiplication
62,1,Multiplication
63,0,Multiplication
47,0,Multiplication
31,2,Multiplication
79,0,Multiplication
93,0,Multiplication
47,0,Multiplication
39,2,Multiplication
46,0,Multiplication
63,5,Multiplication
111,0,Multiplication
39,0,Multiplication
62,2,Multiplication
63,1,Multiplication
43,0,Multiplication
55,0,Multiplication
31,10,Multiplication
43,0,Multiplication
55,0,Multiplication
78,5,Multiplication
111,2,Multiplication
60,1,Multiplication
41,9,Multiplication
79,4,Multiplication
59,0,Multiplication
63,0,Multiplication
39,0,Multiplication
31,0,Multiplication
63,0,Multiplication
55,7,Multiplication
95,1,Multiplication
95,0,Multiplication
38,4,Multiplication
38,0,Multiplication
63,1,Multiplication
63,0,Multiplication
41,17,Multiplication
47,1,Multiplication
39,4,Multiplication
95,4,Multiplication
39,0,Multiplication
39,0,Multiplication
25,4,Multiplication
63,1,Multiplication
31,0,Multiplication
55,1,Multiplication
55,0,Multiplication
61,0,Multiplication
30,1,Multiplication
78,2,Multiplication
62,41,Multiplication
27,0,Multiplication
30,2,Multiplication
60,0,Multiplication
111,0,Multiplication
47,0,Multiplication
45,0,Multiplication
31,0,Multiplication
54,7,Multiplication
63,0,Multiplication
58,0,Multiplication
31,0,Multiplication
87,6,Multiplication
37,9,Multiplication
26,1,Multiplication
79,4,Multiplication
25,1,Multiplication
47,0,Multiplication
31,0,Multiplication
46,0,Multiplication
23,0,Multiplication
31,6,Multiplication
87,4,Multiplication
29,2,Multiplication
39,4,Multiplication
31,0,Multiplication
31,0,Multiplication
29,18,Multiplication
63,0,Multiplication
38,0,Multiplication
95,0,Multiplication
47,0,Multiplication
44,20,Multiplication
59,2,Multiplication
46,15,Multiplication
43,0,Multiplication
127,0,Multiplication
79,0,Multiplication
63,0,Multiplication
43,0,Multiplication
78,0,Multiplication
78,0,Multiplication
47,10,Multiplication
29,0,Multiplication
52,21,Multiplication
63,0,Multiplication
31,6,Multiplication
31,5,Multiplication
63,0,Multiplication
44,0,Multiplication
29,2,Multiplication
27,0,Multiplication
55,0,Multiplication
27,18,Multiplication
63,0,Multiplication
30,6,Multiplication
44,17,Multiplication
54,0,Multiplication
31,0,Multiplication
63,0,Multiplication
63,0,Multiplication
59,8,Multiplication
39,14,Multiplication
63,0,Multiplication
71,3,Multiplication
30,36,Multiplication
55,5,Multiplication
63,7,Multiplication
44,18,Multiplication
62,1,Multiplication
63,1,Multiplication
43,1,Multiplication
37,0,Multiplication
61,0,Multiplication
47,15,Multiplication
29,18,Multiplication
95,0,Multiplication
58,1,Multiplication
62,0,Multiplication
37,3,Multiplication
63,0,Multiplication
47,0,Multiplication
44,0,Multiplication
126,0,Multiplication
44,0,Multiplication
31,6,Multiplication
79,0,Multiplication
63,5,Multiplication
31,0,Multiplication
119,0,Multiplication
47,11,Multiplication
59,2,Multiplication
55,1,Multiplication
39,0,Multiplication
54,0,Multiplication
47,10,Multiplication
75,2,Multiplication
43,1,Multiplication
38,0,Multiplication
63,3,Multiplication
63,2,Multiplication
42,0,Multiplication
95,0,Multiplication
63,0,Multiplication
47,2,Multiplication
63,0,Meditation
31,0,Meditation
44,1,Meditation
31,0,Meditation
41,15,Meditation
29,0,Meditation
46,0,Meditation
31,0,Meditation
27,1,Meditation
52,0,Meditation
31,0,Meditation
54,0,Meditation
62,10,Meditation
79,3,Meditation
63,4,Meditation
39,5,Meditation
46,1,Meditation
79,2,Meditation
55,0,Meditation
47,0,Meditation
31,0,Meditation
38,0,Meditation
63,0,Meditation
38,3,Meditation
55,23,Meditation
63,0,Meditation
127,1,Meditation
54,20,Meditation
53,0,Meditation
31,0,Meditation
63,1,Meditation
30,1,Meditation
63,0,Meditation
62,0,Meditation
55,25,Meditation
31,5,Meditation
76,4,Meditation
63,0,Meditation
52,0,Meditation
55,0,Meditation
44,15,Meditation
46,0,Meditation
52,0,Meditation
42,0,Meditation
31,9,Meditation
47,0,Meditation
63,0,Meditation
47,0,Meditation
143,0,Meditation
44,18,Meditation
60,5,Meditation
55,2,Meditation
93,2,Meditation
38,0,Meditation
47,0,Meditation
47,7,Meditation
63,0,Meditation
26,29,Meditation
63,0,Meditation
39,7,Meditation
59,0,Meditation
37,0,Meditation
63,0,Meditation
63,2,Meditation
