Channel1,Channel2,Condition
42,20,Baseline
29,0,Baseline
47,0,Baseline
63,0,Baseline
63,0,Baseline
87,0,Baseline
87,0,Baseline
39,0,Baseline
42,3,Baseline
55,20,Baseline
47,0,Baseline
47,0,Baseline
63,0,Baseline
31,1,Baseline
23,30,Baseline
31,0,Baseline
55,0,Baseline
111,0,Baseline
45,8,Baseline
39,0,Baseline
31,2,Baseline
42,0,Baseline
44,3,Baseline
79,4,Baseline
87,0,Baseline
47,0,Baseline
46,0,Baseline
30,0,Baseline
45,0,Baseline
53,0,Baseline
63,15,Baseline
47,0,Baseline
43,0,Baseline
44,0,Baseline
42,4,Baseline
79,1,Baseline
46,0,Baseline
63,1,Baseline
79,4,Baseline
61,0,Baseline
45,0,Baseline
26,0,Baseline
44,0,Baseline
63,8,Baseline
79,0,Baseline
45,0,Baseline
31,0,Baseline
41,0,Baseline
77,0,Baseline
59,0,Baseline
46,0,Baseline
59,3,Baseline
95,0,Baseline
43,15,Baseline
95,3,Baseline
47,0,Baseline
55,25,Baseline
47,21,Baseline
87,1,Baseline
58,10,Baseline
39,6,Baseline
63,0,Baseline
25,0,Baseline
63,0,Baseline
75,0,Baseline
63,0,Baseline
31,0,Baseline
54,0,Baseline
25,0,Baseline
63,1,Baseline
42,0,Baseline
47,0,Baseline
53,18,Baseline
63,1,Baseline
77,0,Baseline
43,10,Baseline
63,1,Baseline
79,1,Baseline
127,0,Baseline
37,1,Baseline
31,0,Baseline
79,4,Baseline
28,0,Baseline
87,0,Baseline
127,1,Baseline
52,9,Baseline
79,1,Baseline
30,1,Baseline
79,0,Baseline
63,0,Baseline
79,0,Baseline
41,4,Baseline
60,0,Baseline
59,12,Baseline
31,0,Baseline
47,16,Baseline
111,0,Baseline
46,19,Baseline
63,1,Baseline
63,1,Baseline
59,0,Baseline
30,15,Baseline
29,3,Baseline
23,0,Baseline
63,0,Baseline
42,0,Baseline
41,0,Baseline
95,14,Baseline
39,0,Baseline
46,0,Baseline
95,0,Baseline
127,0,Baseline
46,0,Baseline
47,0,Baseline
63,1,Baseline
63,0,Baseline
47,2,Baseline
39,8,Baseline
23,2,Baseline
31,6,Baseline
43,3,Baseline
27,1,Baseline
78,5,Baseline
63,0,Baseline
63,2,Baseline
54,0,Baseline
42,10,Baseline
31,5,Baseline
87,2,Baseline
45,0,Baseline
63,3,Baseline
25,0,Baseline
63,0,Baseline
55,0,Baseline
47,0,Baseline
63,1,Baseline
44,0,Baseline
47,0,Baseline
30,3,Baseline
31,0,Baseline
63,2,Baseline
41,4,Baseline
52,0,Baseline
43,10,Baseline
63,0,Baseline
55,0,Baseline
31,5,Baseline
60,3,Baseline
47,0,Baseline
87,4,Baseline
79,0,Baseline
43,6,Baseline
22,0,Baseline
54,1,Baseline
31,15,Baseline
63,1,Baseline
87,0,Baseline
55,1,Baseline
59,27,Baseline
63,0,Baseline
55,0,Baseline
43,16,Baseline
61,6,Baseline
79,1,Baseline
38,13,Baseline
39,12,Baseline
46,0,Baseline
46,0,Baseline
31,1,Baseline
87,0,Baseline
95,0,Baseline
63,4,Baseline
42,0,Baseline
63,6,Baseline
28,0,Baseline
47,14,Baseline
45,0,Baseline
95,0,Baseline
63,2,Baseline
63,0,Baseline
47,13,Baseline
44,0,Baseline
46,11,Baseline
63,0,Baseline
87,4,Baseline
63,0,Baseline
95,5,Baseline
55,8,Baseline
42,6,Baseline
63,3,Baseline
119,0,Baseline
27,1,Baseline
39,1,Baseline
55,7,Baseline
95,0,Baseline
75,0,Baseline
31,3,Baseline
47,0,Baseline
54,20,Baseline
38,1,Baseline
63,0,Baseline
63,0,Baseline
55,28,Baseline
31,0,Baseline
47,0,Baseline
111,18,Baseline
30,0,Baseline
63,2,Baseline
31,15,Baseline
63,0,Baseline
63,0,Baseline
87,0,Baseline
31,5,Baseline
31,0,Baseline
55,0,Baseline
54,4,Baseline
77,4,Baseline
39,0,Baseline
87,0,Baseline
29,1,Baseline
95,0,Baseline
78,2,Baseline
55,0,Baseline
28,39,Baseline
47,0,Baseline
58,0,Baseline
47,0,Baseline
43,9,Baseline
63,0,Baseline
31,59,Baseline
79,4,Baseline
39,0,Baseline
59,2,Baseline
51,0,Baseline
60,25,Baseline
79,3,Baseline
55,28,Baseline
55,0,Baseline
76,0,Baseline
46,0,Baseline
30,0,Baseline
63,0,Baseline
79,2,Baseline
42,2,Baseline
60,0,Baseline
58,15,Baseline
111,0,Baseline
63,0,Baseline
43,0,Baseline
39,0,Baseline
47,12,Baseline
63,5,Baseline
31,0,Baseline
54,0,Baseline
63,2,Baseline
39,0,Baseline
39,8,Baseline
55,10,Baseline
79,4,Baseline
95,17,Baseline
79,0,Baseline
127,6,Baseline
62,2,Baseline
58,4,Baseline
127,0,Baseline
30,0,Baseline
95,2,Baseline
63,1,Baseline
28,15,Baseline
39,9,Baseline
39,4,Baseline
31,0,Baseline
47,0,Baseline
27,0,Baseline
79,0,Baseline
47,0,Baseline
47,0,Baseline
30,0,Baseline
31,0,Baseline
78,0,Baseline
43,4,Baseline
63,1,Baseline
31,0,Baseline
55,22,Baseline
47,0,Baseline
63,4,Baseline
63,0,Baseline
31,0,Baseline
31,0,Baseline
54,0,Baseline
27,2,Baseline
14,0,Baseline
47,18,Baseline
63,4,Baseline
87,1,Baseline
47,0,Baseline
45,18,Baseline
38,3,Baseline
63,1,Baseline
63,6,Baseline
29,1,Baseline
45,0,Baseline
29,0,Baseline
63,0,Baseline
127,4,Baseline
63,2,Baseline
52,17,Baseline
111,2,Baseline
63,6,Baseline
47,0,Baseline
53,0,Baseline
42,3,Baseline
95,17,Baseline
42,9,Baseline
61,0,Baseline
46,0,Baseline
38,0,Baseline
47,0,Baseline
58,0,Baseline
23,27,Baseline
47,0,Baseline
46,0,Baseline
47,7,Baseline
31,0,Baseline
47,0,Baseline
55,1,Baseline
63,0,Baseline
31,3,Baseline
47,0,Baseline
58,1,Baseline
39,0,Baseline
31,3,Baseline
38,0,Baseline
63,0,Baseline
43,9,Baseline
47,13,Baseline
61,3,Baseline
79,4,Baseline
63,5,Baseline
63,5,Baseline
63,0,Baseline
47,6,Baseline
31,4,Baseline
39,0,Baseline
79,0,Baseline
87,0,Baseline
61,0,Baseline
44,17,Baseline
63,3,Baseline
63,4,Baseline
53,0,Baseline
52,0,Baseline
54,14,Baseline
61,6,Baseline
42,0,Baseline
61,1,Baseline
42,6,Baseline
47,0,Baseline
47,0,Baseline
45,1,Baseline
31,4,Baseline
63,7,Baseline
59,10,Baseline
47,1,Baseline
45,0,Baseline
63,0,Baseline
46,0,Baseline
79,0,Baseline
47,0,Baseline
79,2,Baseline
44,10,Baseline
39,1,Baseline
62,0,Baseline
47,16,Baseline
42,0,Baseline
47,8,Baseline
61,0,Baseline
31,0,Baseline
46,0,Baseline
38,0,Baseline
31,71,Baseline
63,27,Baseline
47,14,Baseline
39,0,Baseline
94,4,Baseline
47,0,Baseline
63,0,Baseline
47,28,Baseline
44,0,Baseline
28,0,Baseline
55,12,Baseline
63,1,Baseline
61,0,Baseline
47,4,Baseline
62,0,Baseline
55,0,Baseline
60,0,Baseline
37,6,Baseline
31,0,Baseline
58,4,Baseline
43,10,Baseline
42,4,Baseline
79,0,Baseline
47,3,Baseline
31,3,Baseline
55,0,Baseline
31,0,Baseline
52,10,Baseline
26,0,Baseline
31,0,Baseline
79,3,Baseline
25,0,Baseline
44,0,Baseline
79,1,Baseline
92,20,Baseline
47,0,Baseline
43,0,Baseline
10,4,Baseline
31,6,Baseline
47,0,Baseline
111,0,Baseline
63,0,Baseline
63,0,Baseline
39,0,Baseline
127,4,Baseline
95,1,Baseline
31,3,Baseline
55,0,Baseline
45,0,Baseline
45,0,Baseline
54,0,Baseline
27,0,Baseline
43,12,Baseline
43,0,Baseline
27,0,Baseline
63,2,Baseline
38,0,Baseline
87,0,Baseline
63,0,Baseline
46,0,Baseline
55,2,Baseline
77,0,Baseline
42,3,Baseline
63,0,Baseline
63,2,Baseline
46,0,Baseline
53,0,Baseline
30,0,Baseline
63,0,Baseline
47,10,Baseline
62,11,Baseline
44,0,Baseline
39,0,Baseline
31,6,Baseline
63,1,Baseline
79,0,Baseline
52,25,Baseline
92,2,Baseline
62,0,Baseline
63,5,Baseline
55,0,Baseline
95,7,Baseline
63,0,Baseline
38,9,Baseline
127,2,Baseline
43,1,Baseline
47,13,Baseline
87,3,Baseline
47,0,Baseline
31,0,Baseline
54,21,Baseline
45,0,Baseline
143,4,Baseline
55,1,Baseline
31,3,Baseline
78,0,Baseline
31,0,Baseline
44,0,Baseline
43,7,Baseline
46,0,Baseline
47,0,Baseline
60,0,Baseline
43,4,Baseline
55,3,Baseline
58,0,Baseline
30,1,Baseline
47,0,Baseline
31,0,Baseline
53,14,Baseline
63,0,Baseline
31,2,Baseline
46,13,Baseline
62,0,Baseline
63,0,Baseline
30,0,Baseline
78,2,Baseline
63,0,Baseline
31,0,Baseline
87,1,Baseline
30,0,Baseline
63,0,Baseline
47,0,Baseline
78,2,Baseline
127,1,Baseline
58,7,Baseline
47,15,Baseline
47,0,Baseline
31,0,Baseline
27,0,Baseline
43,8,Baseline
42,0,Baseline
63,29,Baseline
87,0,Baseline
79,8,Baseline
63,1,Baseline
45,0,Baseline
95,2,Baseline
75,2,Baseline
26,16,Baseline
47,7,Baseline
59,0,Baseline
63,26,Baseline
63,5,Baseline
28,0,Baseline
55,10,Baseline
111,0,Baseline
62,5,Baseline
47,5,Baseline
20,0,Baseline
47,10,Baseline
93,4,Baseline
39,0,Baseline
20,0,Baseline
95,2,Baseline
75,4,Baseline
95,0,Baseline
63,0,Baseline
27,0,Baseline
29,0,Baseline
55,23,Baseline
79,0,Baseline
63,1,Baseline
95,1,Baseline
53,7,Baseline
31,0,Baseline
63,5,Baseline
31,4,Baseline
31,0,Baseline
39,4,Baseline
75,1,Baseline
42,0,Baseline
63,7,Baseline
46,17,Baseline
111,0,Baseline
39,0,Baseline
44,4,Baseline
58,0,Baseline
59,16,Baseline
37,0,Baseline
63,0,Baseline
63,3,Baseline
54,0,Baseline
31,16,Baseline
63,0,Baseline
47,0,Baseline
37,0,Baseline
95,0,Baseline
63,0,Baseline
95,20,Baseline
31,1,Baseline
31,0,Baseline
31,0,Baseline
63,11,Baseline
63,1,Baseline
42,23,Baseline
45,0,Baseline
54,4,Baseline
63,8,Baseline
91,3,Baseline
63,2,Baseline
63,3,Baseline
79,4,Baseline
95,7,Baseline
39,10,Baseline
31,9,Baseline
79,2,Baseline
47,15,Baseline
39,0,Baseline
39,7,Baseline
43,11,Baseline
63,4,Baseline
52,27,Baseline
31,7,Baseline
79,0,Baseline
39,0,Baseline
47,0,Baseline
45,0,Baseline
46,0,Baseline
31,1,Baseline
63,4,Baseline
31,0,Baseline
55,0,Baseline
43,10,Baseline
47,0,Baseline
63,6,Baseline
31,0,Baseline
54,0,Baseline
23,21,Baseline
30,5,Baseline
63,0,Baseline
31,3,Baseline
31,0,Baseline
63,0,Baseline
79,0,Baseline
47,10,Baseline
79,7,Baseline
55,0,Baseline
44,13,Baseline
63,0,Baseline
87,2,Baseline
25,4,Baseline
79,3,Baseline
45,0,Baseline
63,0,Baseline
52,7,Baseline
47,0,Baseline
31,0,Baseline
95,2,Baseline
79,2,Baseline
59,0,Baseline
45,0,Baseline
54,0,Baseline
63,3,Baseline
87,0,Baseline
31,6,Baseline
46,0,Baseline
111,1,Baseline
63,16,Baseline
63,0,Baseline
31,0,Baseline
95,4,Baseline
29,2,Baseline
63,0,Baseline
92,15,Baseline
55,1,Baseline
119,0,Baseline
53,0,Baseline
45,0,Baseline
27,1,Baseline
63,2,Baseline
58,22,Baseline
39,0,Baseline
63,3,Baseline
111,3,Baseline
87,0,Baseline
28,1,Baseline
126,0,Baseline
79,1,Baseline
95,0,Baseline
42,0,Baseline
87,4,Baseline
87,0,Baseline
95,0,Baseline
63,3,Baseline
63,7,Baseline
63,0,Baseline
38,7,Baseline
62,0,Baseline
47,0,Baseline
55,0,Baseline
47,0,Baseline
26,1,Baseline
38,1,Baseline
31,5,Baseline
76,1,Baseline
55,0,Baseline
31,0,Baseline
63,1,Baseline
47,0,Baseline
87,0,Baseline
46,0,Baseline
59,0,Baseline
60,26,Baseline
59,0,Baseline
43,0,Baseline
77,4,Baseline
42,0,Baseline
61,0,Baseline
62,2,Baseline
47,0,Baseline
31,0,Baseline
28,0,Baseline
119,1,Baseline
63,0,Baseline
59,4,Baseline
42,0,Baseline
63,28,Baseline
77,3,Baseline
46,0,Baseline
45,0,Baseline
111,6,Baseline
31,0,Baseline
53,0,Baseline
55,12,Baseline
54,0,Baseline
46,0,Baseline
63,4,Baseline
59,2,Baseline
91,1,Baseline
79,5,Baseline
119,3,Baseline
63,1,Baseline
51,0,Baseline
31,4,Baseline
31,4,Baseline
42,0,Baseline
31,0,Baseline
95,4,Baseline
44,1,Baseline
31,6,Baseline
95,0,Baseline
63,0,Baseline
79,0,Baseline
31,16,Baseline
47,0,Baseline
63,2,Baseline
95,4,Baseline
47,0,Baseline
63,1,Baseline
27,0,Baseline
47,0,Baseline
44,3,Baseline
93,0,Baseline
55,1,Baseline
47,0,Baseline
79,3,Baseline
63,0,Baseline
55,5,Baseline
77,0,Baseline
95,0,Baseline
63,6,Baseline
31,0,Baseline
52,0,Baseline
63,1,Baseline
39,13,Baseline
42,12,Baseline
63,1,Baseline
87,0,Baseline
31,0,Baseline
79,0,Baseline
31,0,Baseline
78,4,Baseline
31,0,Baseline
31,0,Baseline
31,0,Baseline
53,27,Baseline
47,0,Baseline
79,0,Baseline
43,9,Baseline
31,0,Baseline
42,0,Baseline
28,16,Baseline
47,10,Baseline
47,1,Baseline
60,0,Baseline
91,0,Baseline
55,20,Baseline
63,5,Baseline
75,1,Baseline
31,4,Baseline
54,0,Baseline
31,0,Baseline
39,2,Baseline
94,3,Baseline
63,0,Baseline
87,18,Baseline
63,0,Baseline
59,13,Baseline
47,0,Baseline
31,16,Meditation
46,0,Meditation
55,0,Meditation
54,0,Meditation
47,0,Meditation
53,3,Meditation
39,6,Meditation
63,3,Meditation
52,0,Meditation
60,0,Meditation
45,0,Meditation
31,3,Meditation
63,4,Meditation
55,0,Meditation
51,0,Meditation
95,8,Meditation
28,16,Meditation
59,0,Meditation
42,1,Meditation
95,1,Meditation
55,1,Meditation
54,8,Meditation
55,0,Meditation
27,0,Meditation
31,0,Meditation
47,18,Meditation
78,0,Meditation
31,0,Meditation
79,0,Meditation
55,0,Meditation
31,0,Meditation
63,0,Meditation
55,0,Meditation
62,13,Meditation
47,0,Meditation
31,3,Meditation
63,0,Meditation
143,0,Meditation
26,0,Meditation
59,8,Meditation
79,0,Meditation
52,20,Meditation
63,0,Meditation
54,0,Meditation
31,3,Meditation
87,2,Meditation
46,0,Meditation
27,2,Meditation
30,0,Meditation
23,22,Meditation
37,0,Meditation
47,0,Meditation
127,0,Meditation
31,5,Meditation
37,0,Meditation
31,1,Meditation
63,1,Meditation
39,6,Meditation
63,0,Meditation
39,0,Meditation
61,23,Meditation
47,0,Meditation
47,0,Meditation
47,0,Meditation
93,0,Meditation
31,0,Meditation
29,1,Meditation
79,0,Meditation
43,0,Meditation
79,1,Meditation
58,23,Meditation
63,0,Meditation
63,2,Meditation
77,2,Meditation
63,0,Meditation
55,4,Meditation
111,0,Meditation
55,7,Meditation
29,15,Meditation
44,1,Meditation
63,0,Meditation
62,26,Meditation
55,5,Meditation
79,1,Meditation
79,5,Meditation
31,2,Meditation
63,0,Meditation
31,0,Meditation
47,0,Meditation
79,1,Meditation
63,1,Meditation
27,0,Meditation
47,0,Meditation
61,1,Meditation
47,0,Meditation
62,0,Meditation
47,0,Meditation
63,2,Meditation
54,0,Meditation
28,15,Meditation
79,1,Meditation
63,0,Meditation
143,0,Meditation
127,0,Meditation
44,11,Meditation
75,5,Meditation
79,2,Meditation
53,20,Meditation
79,0,Meditation
60,1,Meditation
95,2,Meditation
63,1,Meditation
31,15,Meditation
27,0,Meditation
54,22,Meditation
53,0,Meditation
60,1,Meditation
76,0,Meditation
31,0,Meditation
127,1,Meditation
28,0,Meditation
47,16,Meditation
43,0,Meditation
45,11,Meditation
95,2,Meditation
59,0,Meditation
61,21,Meditation
31,0,Meditation
87,0,Meditation
79,0,Meditation
39,0,Meditation
62,0,Meditation
111,0,Meditation
25,16,Meditation
47,0,Meditation
63,5,Meditation
63,0,Meditation
63,0,Meditation
51,0,Meditation
87,2,Meditation
63,2,Meditation
55,3,Meditation
39,0,Meditation
79,2,Meditation
61,25,Meditation
55,0,Meditation
46,0,Meditation
87,0,Meditation
42,23,Meditation
43,0,Meditation
30,16,Meditation
127,3,Meditation
62,0,Meditation
63,0,Meditation
63,4,Meditation
39,0,Meditation
60,0,Meditation
63,0,Meditation
47,0,Meditation
46,0,Meditation
39,0,Meditation
43,7,Meditation
79,0,Meditation
27,2,Meditation
46,8,Meditation
47,10,Meditation
39,0,Meditation
75,2,Meditation
42,11,Meditation
39,12,Meditation
63,1,Meditation
27,0,Meditation
111,5,Meditation
63,1,Meditation
52,2,Meditation
55,0,Meditation
63,3,Meditation
53,0,Meditation
79,1,Meditation
54,2,Meditation
95,0,Meditation
38,0,Meditation
46,1,Meditation
47,0,Meditation
63,3,Meditation
47,0,Meditation
62,25,Meditation
31,4,Meditation
63,1,Meditation
31,2,Meditation
38,0,Meditation
47,0,Meditation
31,3,Meditation
55,10,Meditation
47,0,Meditation
53,7,Meditation
47,0,Meditation
29,15,Meditation
63,1,Meditation
63,4,Meditation
26,3,Meditation
55,26,Meditation
43,0,Meditation
31,0,Meditation
37,0,Meditation
42,0,Meditation
78,0,Meditation
60,0,Meditation
119,1,Meditation
31,0,Meditation
30,0,Meditation
25,15,Meditation
47,0,Meditation
47,23,Meditation
55,0,Meditation
29,16,Meditation
47,0,Meditation
76,2,Meditation
31,3,Meditation
43,0,Meditation
62,24,Meditation
47,0,Meditation
31,0,Meditation
55,6,Meditation
30,0,Meditation
59,0,Meditation
39,1,Meditation
47,0,Meditation
61,4,Meditation
43,0,Meditation
46,0,Meditation
30,0,Meditation
63,0,Meditation
39,4,Meditation
31,0,Meditation
41,0,Meditation
62,0,Meditation
39,0,Meditation
47,18,Meditation
31,0,Meditation
31,1,Meditation
45,0,Meditation
26,16,Meditation
61,0,Meditation
63,0,Meditation
58,0,Meditation
45,0,Meditation
63,1,Meditation
55,0,Meditation
47,16,Meditation
31,0,Meditation
54,0,Meditation
58,17,Meditation
42,0,Meditation
63,3,Meditation
51,0,Meditation
95,4,Meditation
31,0,Meditation
55,0,Meditation
60,0,Meditation
25,2,Meditation
29,2,Meditation
42,3,Meditation
62,1,Meditation
78,0,Meditation
62,3,Meditation
42,4,Meditation
95,0,Meditation
63,0,Meditation
79,0,Meditation
63,0,Meditation
59,2,Meditation
79,0,Meditation
61,26,Meditation
63,6,Meditation
47,11,Meditation
55,0,Meditation
62,0,Meditation
46,17,Meditation
46,0,Meditation
31,5,Meditation
63,0,Meditation
55,1,Meditation
38,0,Meditation
63,3,Meditation
51,0,Meditation
39,0,Meditation
39,0,Meditation
63,24,Meditation
37,0,Meditation
37,0,Meditation
95,0,Meditation
119,0,Meditation
59,0,Meditation
31,2,Meditation
42,0,Meditation
63,0,Meditation
31,0,Meditation
55,0,Meditation
45,1,Meditation
43,1,Meditation
55,0,Meditation
78,0,Meditation
31,0,Meditation
79,4,Meditation
58,23,Meditation
31,0,Meditation
47,0,Meditation
46,0,Meditation
29,3,Meditation
31,4,Meditation
63,1,Meditation
42,12,Meditation
63,3,Meditation
63,0,Meditation
63,3,Meditation
127,4,Meditation
63,1,Meditation
31,0,Meditation
46,0,Meditation
31,8,Meditation
47,0,Meditation
37,0,Meditation
37,1,Meditation
63,0,Meditation
30,0,Meditation
31,4,Meditation
55,2,Meditation
43,0,Meditation
39,0,Meditation
79,0,Meditation
60,1,Meditation
31,4,Meditation
31,0,Meditation
31,0,Meditation
45,0,Meditation
31,0,Meditation
79,1,Meditation
31,7,Meditation
111,3,Meditation
38,0,Meditation
42,12,Meditation
51,0,Meditation
39,0,Meditation
47,0,Meditation
95,0,Meditation
58,0,Meditation
63,0,Meditation
45,0,Meditation
63,0,Meditation
47,16,Meditation
111,6,Meditation
26,0,Meditation
63,0,Meditation
31,0,Meditation
79,1,Meditation
46,0,Meditation
63,0,Meditation
39,0,Meditation
39,0,Meditation
63,0,Meditation
63,0,Meditation
63,0,Meditation
63,21,Meditation
39,6,Meditation
52,0,Meditation
91,4,Meditation
27,1,Meditation
78,0,Meditation
43,1,Meditation
95,0,Meditation
53,4,Meditation
31,3,Meditation
58,23,Meditation
11,2,Meditation
47,0,Meditation
95,4,Meditation
31,0,Meditation
127,0,Meditation
119,0,Meditation
15,0,Meditation
45,11,Meditation
63,0,Meditation
43,1,Meditation
91,17,Meditation
31,0,Meditation
47,1,Meditation
79,1,Meditation
79,0,Meditation
31,0,Meditation
31,0,Meditation
79,0,Meditation
79,0,Meditation
60,0,Meditation
61,0,Meditation
15,0,Meditation
27,0,Meditation
22,1,Meditation
79,3,Meditation
47,0,Meditation
31,0,Meditation
39,12,Meditation
79,4,Meditation
63,1,Meditation
55,0,Meditation
61,0,Meditation
58,4,Meditation
62,0,Meditation
63,0,Meditation
47,0,Meditation
31,0,Meditation
55,0,Meditation
77,0,Meditation
79,0,Meditation
39,0,Meditation
44,0,Meditation
55,0,Meditation
45,16,Meditation
47,0,Meditation
63,2,Meditation
42,0,Meditation
79,0,Meditation
61,0,Meditation
63,1,Meditation
47,11,Meditation
95,2,Meditation
77,0,Meditation
63,0,Meditation
45,0,Meditation
55,0,Meditation
30,2,Meditation
63,2,Meditation
15,0,Meditation
27,0,Meditation
63,2,Meditation
47,0,Meditation
31,0,Meditation
46,0,Meditation
63,0,Meditation
31,0,Meditation
79,2,Meditation
38,0,Meditation
55,18,Meditation
54,0,Meditation
63,0,Meditation
31,1,Meditation
63,3,Meditation
41,0,Meditation
79,0,Meditation
63,0,Meditation
63,0,Meditation
95,0,Meditation
47,12,Meditation
55,0,Meditation
63,3,Meditation
30,0,Meditation
86,0,Meditation
95,0,Meditation
42,0,Meditation
47,0,Meditation
63,0,Meditation
45,4,Meditation
91,0,Meditation
75,0,Meditation
55,0,Meditation
59,15,Meditation
47,0,Meditation
63,0,Meditation
59,2,Meditation
76,4,Meditation
111,0,Meditation
63,0,Meditation
95,0,Meditation
58,0,Meditation
39,2,Meditation
61,0,Meditation
39,14,Meditation
63,1,Meditation
95,4,Meditation
79,0,Meditation
53,22,Meditation
55,19,Meditation
63,1,Meditation
47,0,Meditation
39,0,Meditation
63,0,Meditation
95,1,Meditation
63,0,Meditation
38,0,Meditation
87,0,Meditation
76,0,Meditation
43,0,Meditation
54,0,Meditation
55,0,Meditation
63,4,Meditation
63,2,Meditation
28,0,Meditation
87,0,Meditation
143,0,Meditation
21,0,Meditation
95,16,Meditation
47,15,Meditation
62,0,Meditation
42,9,Meditation
31,0,Meditation
31,0,Meditation
79,0,Meditation
111,0,Meditation
63,7,Meditation
58,24,Meditation
61,1,Meditation
63,4,Meditation
47,0,Meditation
63,0,Meditation
63,3,Meditation
17,0,Meditation
31,0,Meditation
62,0,Meditation
44,0,Meditation
30,0,Meditation
62,9,Meditation
78,3,Meditation
47,0,Meditation
58,0,Meditation
63,0,Meditation
78,3,Meditation
63,3,Meditation
55,0,Meditation
39,0,Meditation
42,4,Meditation
63,3,Meditation
63,0,Meditation
31,8,Meditation
43,11,Meditation
29,7,Meditation
31,1,Meditation
75,0,Meditation
39,0,Meditation
46,0,Meditation
61,0,Meditation
63,0,Meditation
55,0,Meditation
39,0,Meditation
75,3,Meditation
78,1,Meditation
59,0,Meditation
63,0,Meditation
26,0,Meditation
62,6,Meditation
46,0,Meditation
39,0,Meditation
29,0,Meditation
75,0,Meditation
95,0,Meditation
91,2,Meditation
47,2,Meditation
79,0,Meditation
63,6,Meditation
61,6,Meditation
47,0,Meditation
31,0,Meditation
79,2,Meditation
31,0,Meditation
63,0,Meditation
47,14,Meditation
31,0,Meditation
41,4,Meditation
55,10,Meditation
59,0,Meditation
79,1,Meditation
63,0,Meditation
46,10,Meditation
37,14,Meditation
46,0,Meditation
45,0,Meditation
47,0,Meditation
39,2,Meditation
61,11,Meditation
