A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,accuracy,feedback1,feedback2
9.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,junk,hundred,one,one
0.02482,0.005679,0.004806,0.001409,0.004529,0.001614,0.004953,0.001656,0.03578,0.01557,0.0103,0.002394,0.007039,0.001726,0.009355,0.003172,junk,hundred,one,one
3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,junk,hundred,one,one
2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,junk,hundred,one,one
4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,junk,hundred,one,one
7.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,junk,hundred,one,one
0.02671,0.006095,0.0047,0.001392,0.00477,0.001715,0.004822,0.001646,0.03638,0.01573,0.01024,0.002438,0.006904,0.001741,0.009069,0.003194,junk,hundred,one,one
1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,junk,hundred,one,one
10.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,junk,hundred,one,one
0.0253,0.006105,0.004863,0.001387,0.004539,0.001716,0.004935,0.001619,0.03607,0.01567,0.01034,0.002424,0.00684,0.001687,0.009129,0.003199,junk,hundred,one,one
1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,junk,hundred,one,one
9.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,junk,hundred,one,one
6.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,junk,hundred,one,one
4.0,5.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,junk,hundred,one,one
0.02624,0.005957,0.004859,0.001456,0.00472,0.001665,0.005003,0.001713,0.03673,0.01591,0.0106,0.002469,0.007192,0.001815,0.009513,0.003269,junk,hundred,one,one
4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,junk,hundred,one,one
4.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,junk,hundred,one,one
0.0269,0.006332,0.004807,0.001385,0.00475,0.001773,0.004852,0.001646,0.0367,0.01594,0.01016,0.002449,0.006542,0.00169,0.008746,0.003199,junk,hundred,one,one
10.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,junk,hundred,one,one
8.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,junk,hundred,one,one
9.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,junk,hundred,one,one
8.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,junk,hundred,one,one
0.02544,0.006047,0.004964,0.001443,0.004607,0.001688,0.005076,0.001669,0.03636,0.0159,0.01027,0.002419,0.006932,0.001761,0.009166,0.003218,junk,hundred,one,one
1.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,junk,hundred,one,one
8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,junk,hundred,one,one
0.02696,0.006174,0.004789,0.001444,0.004777,0.001717,0.0049,0.0017,0.03676,0.01598,0.01005,0.002413,0.006596,0.001752,0.008865,0.003171,junk,hundred,one,one
7.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,junk,hundred,one,one
1.0,5.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,junk,hundred,one,one
6.0,5.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,junk,hundred,one,one
1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,junk,hundred,one,one
0.02633,0.006319,0.004922,0.001403,0.004715,0.001782,0.004975,0.00164,0.03657,0.01592,0.009931,0.002396,0.00665,0.001709,0.008806,0.003158,junk,hundred,one,one
9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,junk,hundred,one,one
3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,junk,hundred,one,one
0.02533,0.005817,0.004817,0.001419,0.004511,0.001615,0.004933,0.001654,0.03675,0.016,0.0101,0.00243,0.006672,0.00177,0.009002,0.003205,junk,hundred,one,one
2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,junk,hundred,one,one
3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,junk,hundred,one,one
4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,junk,hundred,one,one
7.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,junk,hundred,one,one
0.02568,0.006045,0.004502,0.001332,0.004538,0.001679,0.00459,0.001577,0.03637,0.01595,0.009671,0.002334,0.006208,0.001678,0.008432,0.003086,junk,hundred,one,one
7.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,junk,hundred,one,one
1.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,junk,hundred,one,one
8.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,junk,hundred,one,one
0.02395,0.005845,0.004666,0.001333,0.004388,0.001615,0.004776,0.001549,0.0367,0.01598,0.01003,0.002458,0.007038,0.001808,0.009183,0.003206,junk,hundred,one,one
1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,junk,hundred,one,one
10.0,5.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,junk,hundred,one,one
1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,junk,hundred,one,one
0.02618,0.006025,0.004769,0.001451,0.004661,0.001671,0.00492,0.001693,0.03694,0.01603,0.01014,0.002436,0.006639,0.001805,0.009006,0.0032,junk,hundred,one,one
7.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,junk,hundred,one,one
2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,junk,hundred,one,one
0.02546,0.006102,0.004615,0.001325,0.004637,0.001695,0.004706,0.00155,0.03706,0.01598,0.009978,0.002415,0.007098,0.001823,0.009114,0.003185,junk,hundred,one,one
7.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,junk,hundred,one,one
2.0,5.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,junk,hundred,one,one
3.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,junk,hundred,one,one
8.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,junk,hundred,one,one
0.02552,0.006102,0.004956,0.001473,0.004616,0.001693,0.005104,0.001701,0.03743,0.01601,0.01036,0.002499,0.007117,0.001849,0.009379,0.003282,junk,hundred,one,one
6.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,junk,hundred,one,one
10.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,junk,hundred,one,one
6.0,5.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,junk,hundred,one,one
0.02795,0.006319,0.004921,0.00149,0.004973,0.001778,0.005054,0.001737,0.03757,0.016,0.0103,0.002458,0.006975,0.001847,0.009254,0.00324,junk,hundred,one,one
7.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,junk,hundred,one,one
7.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,junk,hundred,one,one
3.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,junk,hundred,one,one
0.02636,0.006281,0.004976,0.001423,0.004798,0.001772,0.005087,0.001652,0.03808,0.01599,0.01041,0.002548,0.007471,0.001908,0.009466,0.003345,junk,hundred,one,one
10.0,5.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,junk,hundred,one,one
4.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,junk,hundred,one,one
4.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,junk,hundred,one,one
0.02557,0.005794,0.004805,0.001423,0.004519,0.001611,0.004928,0.001646,0.0372,0.01601,0.01034,0.002509,0.006822,0.001845,0.009214,0.00328,junk,hundred,one,one
1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,junk,hundred,one,one
6.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,junk,hundred,one,one
1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,junk,hundred,one,one
0.02535,0.005936,0.004489,0.001322,0.004647,0.001669,0.004624,0.001554,0.03753,0.01597,0.01002,0.002475,0.007373,0.001925,0.00935,0.003231,junk,hundred,one,one
5.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,junk,hundred,one,one
2.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,junk,hundred,one,one
1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,junk,hundred,one,one
0.02408,0.005775,0.00471,0.001339,0.004345,0.001611,0.004824,0.00156,0.03695,0.01599,0.01001,0.002511,0.006819,0.00186,0.009002,0.003267,junk,hundred,one,one
7.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,junk,hundred,one,one
4.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,junk,hundred,one,one
5.0,5.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,junk,hundred,one,one
1.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,junk,hundred,one,one
0.02453,0.005589,0.004442,0.001343,0.004468,0.001565,0.004597,0.001585,0.03688,0.01598,0.01001,0.00244,0.007142,0.001904,0.009357,0.003203,junk,hundred,one,one
3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,junk,hundred,one,one
4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,junk,hundred,one,one
0.02387,0.005677,0.004379,0.001226,0.004411,0.00157,0.004513,0.001426,0.03718,0.01603,0.00972,0.002497,0.007184,0.001936,0.009035,0.003237,junk,hundred,one,one
10.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,junk,hundred,one,one
3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,junk,hundred,one,one
7.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,junk,hundred,one,one
3.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,junk,hundred,one,one
0.0199,0.004863,0.003901,0.001125,0.003544,0.001314,0.004038,0.001326,0.03517,0.01586,0.009255,0.002323,0.006216,0.001756,0.008432,0.003073,junk,hundred,one,one
9.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,junk,hundred,one,one
9.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,junk,hundred,one,one
0.02175,0.005146,0.003815,0.001121,0.004024,0.001395,0.004004,0.001334,0.03568,0.01592,0.009164,0.00234,0.006877,0.001899,0.008797,0.003065,junk,hundred,one,one
9.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,junk,hundred,one,one
8.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,junk,hundred,one,one
4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,junk,hundred,one,one
7.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,junk,hundred,one,one
0.02124,0.00535,0.004111,0.001154,0.003858,0.00147,0.004258,0.001351,0.03533,0.01592,0.009021,0.002375,0.006376,0.001816,0.008319,0.003088,junk,hundred,one,one
3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,junk,hundred,one,one
1.0,5.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,junk,hundred,one,one
0.02166,0.005103,0.004061,0.001212,0.003924,0.001382,0.004232,0.001422,0.03491,0.01591,0.009127,0.002302,0.006334,0.001804,0.008496,0.003037,junk,hundred,one,one
9.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,junk,hundred,one,one
5.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,junk,hundred,one,one
1.0,5.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,junk,hundred,one,one
5.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,junk,hundred,one,one
0.02241,0.005467,0.003976,0.001149,0.004085,0.001485,0.00413,0.001356,0.03547,0.01601,0.008962,0.002352,0.006575,0.00186,0.008373,0.003057,junk,hundred,one,one
1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,junk,hundred,one,one
5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,junk,hundred,one,one
0.02148,0.005337,0.004245,0.001203,0.003826,0.001452,0.00438,0.001406,0.0348,0.01591,0.009001,0.002338,0.006018,0.001751,0.008196,0.003045,junk,hundred,one,one
9.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,junk,hundred,one,one
5.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,junk,hundred,one,one
7.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,junk,hundred,one,one
2.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,junk,hundred,one,one
0.0224,0.005239,0.003977,0.001199,0.004052,0.001414,0.004165,0.001407,0.03511,0.01606,0.009061,0.002328,0.006415,0.001867,0.008472,0.00306,junk,hundred,one,one
5.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,junk,hundred,one,one
1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,junk,hundred,one,one
0.02194,0.005524,0.004071,0.00114,0.003927,0.001494,0.004183,0.001341,0.03492,0.01597,0.008745,0.002344,0.00586,0.001744,0.007831,0.003016,junk,hundred,one,one
6.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,junk,hundred,one,one
8.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,junk,hundred,one,one
6.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,junk,hundred,one,one
9.0,5.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,junk,hundred,one,one
0.02077,0.005026,0.004024,0.00118,0.003798,0.001351,0.004201,0.001377,0.03439,0.01599,0.008955,0.002319,0.006214,0.001803,0.008367,0.003027,junk,hundred,one,one
1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,junk,hundred,one,one
2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,junk,hundred,one,one
6.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,junk,hundred,one,one
0.02242,0.005462,0.003924,0.001168,0.004088,0.001461,0.004102,0.00138,0.03519,0.01619,0.008876,0.002328,0.006333,0.001872,0.008246,0.003034,junk,hundred,one,one
8.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,junk,hundred,one,one
2.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,junk,hundred,one,one
6.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,junk,hundred,one,one
0.02152,0.00536,0.004168,0.00116,0.003847,0.001472,0.004275,0.001364,0.03448,0.01603,0.008747,0.00233,0.005871,0.001752,0.007945,0.003021,junk,hundred,one,one
3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,junk,hundred,one,one
8.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,junk,hundred,one,one
8.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,junk,hundred,one,one
0.02147,0.005145,0.004005,0.001198,0.003931,0.001387,0.004198,0.001406,0.03494,0.01615,0.009032,0.002351,0.006411,0.00189,0.008531,0.003067,junk,hundred,one,one
9.0,4.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,junk,hundred,one,one
4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,junk,hundred,one,one
2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,junk,hundred,one,one
0.02262,0.005627,0.00404,0.001165,0.004056,0.001527,0.004177,0.00138,0.0352,0.01619,0.008932,0.002372,0.005992,0.00181,0.007988,0.00306,junk,hundred,one,one
2.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,junk,hundred,one,one
